name,url,rq1Inter,rq1Indep,rq1Open,SD,rq3rq4,legal,topics
ADA Initiative,https://adainitiative.org/,Y,Y,Y,N,N,United States 501(c)3,"Event-organization,Training,Legal-support,Community-coordination"
Apache Software Foundation,http://www.apache.org/foundation/,Y,Y,Y,Y,Y,United States 501(c)(3),"Project-sponsoring,Legal-support,Community-coordination,Software-Development"
Associacao SoftwareLivre.org,http://associacao.softwarelivre.org/,N,Y,Y,N,N,Brazillian NGO,"OSS-promotion,Event-organization,Training,Government-involvement"
Benetech,http://www.benetech.org/,Y,Y,N,N,N,United States 501(c)(3),"Project-sponsoring,Community-coordination"
BioBricks Foundation,https://biobricks.org/,Y,Y,N,N,N,United States 501(c)(3),"Event-organization,Project-sponsoring"
Blender Foundation,http://www.blender.org/blenderorg/blender-foundation/,Y,Y,N,Y,N,Dutch Stichting,"Project-sponsoring,Community-coordination,Software-Development"
BSD Fund,http://bsdfund.org/,Y,N,Y,Y,N,"BSD Fund was program of Linux Fund, a US-based 501(c)(3) organization from 2007 to 2012, but is currently simply a trademark of Gainframe LLC, a US-based business","Event-organization,Project-sponsoring,Community-coordination,Software-Development"
Cloud Foundry Foundation,https://www.cloudfoundry.org/foundation/,Y,Y,Y,Y,Y,United States 501(c)(6),"Event-organization,Project-sponsoring,Training,Community-coordination,Software-Development"
Creative Commons,http://creativecommons.org/,Y,Y,Y,N,N,United States 501(c)(3),"Legal-support,Government-involvement,Standard-leaders"
Digital Freedom Foundation,https://www.digitalfreedomfoundation.org/,Y,N,N,N,N,European NGO,"OSS-promotion,Training,Legal-support"
Digital Freedom Foundation India,http://dff.org.in/,N,Y,N,N,N,Indian Foundation,"OSS-promotion,Event-organization,Project-sponsoring,Training"
Django Software Foundation,http://www.djangoproject.com/foundation/,Y,Y,Y,Y,Y,United States 501(c)(3),"Project-sponsoring,Legal-support,Community-coordination,Software-Development"
Document Foundation,http://www.documentfoundation.org/,Y,Y,Y,Y,Y,German e.V,"Project-sponsoring,Training,Community-coordination,Software-Development"
Dojo Foundation,http://dojofoundation.org/,Y,N,N,Y,N,United States 501(c)(6),"Event-organization,Project-sponsoring,Training,Community-coordination,Software-Development"
.NET Foundation,https://dotnetfoundation.org/,Y,Y,Y,Y,Y,United States 501(c)(6),"OSS-promotion,Event-organization,Project-sponsoring,Legal-support,Community-coordination,Software-Development"
Eclipse Foundation,http://www.eclipse.org/org/foundation/,Y,Y,Y,Y,Y,United States 501(c)(6),"Event-organization,Project-sponsoring,Community-coordination,Software-Development"
El Centro de Software Libre,http://www.csol.org/,N,Y,N,N,N,Unknown,"OSS-promotion,Event-organization,Government-involvement,Community-coordination"
Electronic Frontier Foundation,http://www.eff.org/,Y,Y,N,N,N,United States 501(c)(3),"Legal-support,Government-involvement"
Free Knowledge Institute,http://freeknowledge.eu/,Y,Y,N,N,N,Dutch Stichting,"OSS-promotion,Community-coordination"
Free Software and Open Source Foundation for Africa,http://www.fossfa.net/,N,Y,Y,N,N,Unknown,"OSS-promotion,Government-involvement,Standard-leaders,Community-coordination"
Free Software Foundation,http://www.fsf.org/,Y,Y,Y,N,N,United States 501(c)(3),"OSS-promotion,Event-organization,Project-sponsoring,Legal-support,Standard-leaders,Community-coordination"
Free Software Foundation Europe,https://fsfe.org,Y,Y,Y,N,N,German e.V.,"OSS-promotion,Event-organization,Project-sponsoring,Training,Legal-support,Government-involvement,Standard-leaders,Community-coordination"
Free Software Foundation India,http://fsf.org.in/,N,Y,N,N,N,Indian Nonprofit,"OSS-promotion,Event-organization,Community-coordination"
Free Software Foundation Latin America,http://www.fsfla.org/,N,Y,Y,N,N,Unknown,"OSS-promotion,Training,Legal-support,Government-involvement,Community-coordination"
FreeBSD Foundation,http://freebsdfoundation.org/,Y,Y,Y,Y,Y,United States 501(c)(3),"Event-organization,Project-sponsoring,Training,Legal-support,Community-coordination,Software-Development"
Fundación Vía Libre,http://www.vialibre.org.ar/,N,Y,N,N,N,Argentinian NGO,"OSS-promotion,Event-organization"
F# Foundation,http://foundation.fsharp.org/,Y,Y,Y,Y,Y,United States Corporation,"Project-sponsoring,Community-coordination,Software-Development"
Gentoo Foundation,https://www.gentoo.org/inside-gentoo/foundation/,Y,Y,Y,Y,Y,United States 501(c)(6),"Event-organization,Project-sponsoring,Training,Community-coordination,Software-Development"
GNOME Foundation,http://foundation.gnome.org/,Y,Y,Y,Y,Y,United States 501(c)(3),"Project-sponsoring,Community-coordination,Software-Development"
GraphQL Foundation,https://foundation.graphql.org/,Y,N,N,Y,N,Unknown,"Project-sponsoring,Community-coordination,Software-Development"
Kuali Foundation,https://kuali.org,Y,Y,Y,Y,Y,United States 501(c)(3),"Event-organization,Project-sponsoring,Community-coordination,Software-Development"
Identity Commons,http://idcommons.net/,Y,Y,Y,N,N,United States 501(c)(3),"Event-organization,Standard-leaders,Community-coordination"
Internet Systems Consortium,http://www.isc.org/,Y,Y,N,Y,N,United States 501(c)(3),"Project-sponsoring,Standard-leaders,Community-coordination,Software-Development"
ITPUG (Italian PostgreSQL Users' Group),https://www.itpug.org/,N,Y,N,Y,N,Italian Non-Profit Association,"Event-organization,Training,Community-coordination,Software-Development"
JS Foundation,https://js.foundation,Y,N,Y,Y,N,Unknown,"Event-organization,Project-sponsoring,Training,Community-coordination,Software-Development"
JPUG (Japanese PostgreSQL Users' Group),https://www.postgresql.jp/,N,Y,Y,Y,N,Japanese Non-Profit Corporation,"Event-organization,Training,Community-coordination,Software-Development"
KDE e.V.,http://ev.kde.org/,Y,Y,Y,N,N,German e.V,"Event-organization,Project-sponsoring,Training,Community-coordination"
Linux Expo of Southern California,http://www.socallinuxexpo.org/,Y,Y,N,N,N,United States 501(c)(3),"OSS-promotion,Event-organization,Community-coordination"
Linux Foundation,http://linuxfoundation.org/,Y,N,Y,Y,N,United States 501(c)(6),"OSS-promotion,Event-organization,Project-sponsoring,Training,Community-coordination,Software-Development"
Linux Fund,http://www.linuxfund.org/,Y,N,Y,Y,N,United States 501(c)(3),"Project-sponsoring,Community-coordination,Software-Development"
Linux International,http://www.li.org/,Y,N,N,Y,N,United States 501(c)(3),"OSS-promotion,Project-sponsoring,Community-coordination,Software-Development"
Linux Profesional Institute,https://www.lpi.org/,Y,Y,N,N,N,Unknown,Training
