,,RQ3 - Communication - Main,RQ3 - Communication - Newcomers,RQ3 - Becoming a commiter - Who,RQ3 - Becoming a committer - How,RQ3 - Development Governance - Coordination,RQ3 - Development Governance - Implementation,RQ3 - Development Governance - Who,RQ3 - Development Governance -  What,RQ3 - Development Governance - How,RQ3 - Technical Board,RQ4 - Board - Size,RQ4 - Board - Term,RQ4 - Board - Actions - How,RQ4 - Board - Actions - Quorum,RQ4 - Board - Election - Who,RQ4 - Board - Election - How,RQ4 - Board - Election -Quorum,RQ4 - Board - Removal - Who,RQ4 - Board - Removal - How,RQ4 - Board - Removal - Quorum,RQ4 - Membership - Election - Who,RQ4 - Membership - Election - How,RQ4 - Membership - Election - Quorum,RQ4 - Membership - Removal - Who,RQ4 - Membership - Removal - How,RQ4 - Membership - Removal - Quorum,RQ4 - Membership - Special,RQ4 - Meetings - Annual,RQ4 - Meetings - Special,RQ4 - Meetings - Actions - Who,RQ4 - Meetings - Actions - How,RQ4 - Meetings - Actions - Quorum
Apache Software Foundation,https://apache.org/foundation/bylaws.html,Mailing list,https://community.apache.org/newcomers/index.html,Anyone,Requires karma,Mailing list,"Buzilla, Jira",Any member of the project,"(A) Code, (B) Releases, (C) Procedural","(A) Code by absolute majority with vetoes, (B) Releases require 3 binding votes in favour, (C) Procedural by majority rule",,9,Annually,Majority,Majority,Members elect directors,Majority,-,Members entitled to vote for the election of directors,Majority,-,Members,Majority,-,Members,Two-thirds majority,-,,Y,Y,Members + Board,Majority,One third of members entitled to vote
Cloud Foundry Foundation,https://www.cloudfoundry.org/wp-content/uploads/2017/01/CFF_Bylaws.pdf,"Slack, Mailing list",https://www.cloudfoundry.org/get-started/,Anyone,Cloud Foundry Dojo / Continuous conrtibutions,-,-,Project Members,Any appeal must have 25% of project members to go to the PMC,Consensus,PMC,> 1 (usually 9),Until removal,Simple majority,Present,Platinum members elect Platinum directors; the same applies for Gold,Simple majority,Present,Board or at discretion by the member that appointed him/her,Supermajority (705),Present,Anyone,Paid,-,Board (for cause),Boards's discretion,-,,Y,Y,Board + Members (upon board's approval),Simple majority / Supermajoroty / Special Supermajority (check 3.10 in bylaws),Present
Django Software Foundation,https://www.djangoproject.com/m/foundation/bylaws.pdf,Mailing list,https://docs.djangoproject.com/en/dev/internals/contributing/,Anyone,"By request, granted unless the technical board vetoes",Mailing list,Trac,Core developers + Technical Board,"Anything by mainly review of security reports, mergin patches and releases",Four fifths majority (technical board has veto right),PMC,3-15,Annually,Majority,Majority,Members nominates to be part of the Board. Board elects the directors,Majority,-,Directors,Majority,-,Board,Majority,-,Board,Majority,-,,Y,Y,Members + Board,Majority,Majority of directors or members
Document Foundation,https://www.documentfoundation.org/foundation/statutes/,Mailing list,http://www.libreoffice.org/community/get-involved/,-,-,-,Gerrit,-,Issues,Votes,Y,7,2 years,Simple majority,Half,Board of trustees (monitored by membership committee),Single transferable Vote + Meek method,-,Board of trustees (monitored by membership committee),Simple majority with single transferable vote + meek method,-,Board of trustees,Single transferable Vote + Meek method,-,Board of trustees (monitored by membership committee),Simple majority with single transferable vote + meek method,-,2 years term,-,-,-,-,-
.NET Foundation,https://dnfwebsitewusproduction.blob.core.windows.net/media/Default/Documents/NET%20Foundation-First-Amended-and-Restated-Bylaws-2015-03-25.pdf,Forum,https://dotnetfoundation.org/get-involved,Any user/contributor,Reward,GitHub,GitHub,Any member of the project,Issues/PR,Votes,N,3,1 year,Majority,Majority,Members and anyone,"Members choose 2 directors by majority, Any community member choose 1 director by majority",-,Members,By resolution,-,Current members,Unanimous,-,-,-,-,,Y,Y,Members,Majority,Majority
Eclipse Foundation,https://eclipse.org/org/documents/Eclipse%20BYLAWS%202011_08_15%20Final.pdf,"Forums, mailing list",http://www.eclipse.org/contribute/,Anyone contributing,"Commiters vote, at least 3 votes, they have veto. The PMC approves/rejects the final decision",-,Bugzilla,Committers + PMC,Bugs,Votes,Project leaders,> 1,(A) Strategic Developer/Consumer Directors until their removal (B) Add-In Directors and Committer Directors annually,"(A) Simple Majority as default, (B) Unanimous Consent for License-related issues, (C) Super-majority Consent for Foundation-related issues, (D) Unanimously when no meeting, (E) Membership approval for some actions",Simple majority of Good Standing directors (or one-half when even number required),"(A) Strategic Developer Directors by Strategic Developers, (B) Strategic Consumer Directors by Strategic Consumers, (C) Add-In Provider Directors byb Add-In provider members and (D) Committer Directors by Committer Members","(A) Strategic Developer Directors unanimously, (B) Strategic Consumer Directors unanimously, (C) Add-In Provider Directors and Committer Directors by Single Transferable Vote",-,Directors,"(A) With cause by Majority, (B) with no cause by two-thirds of the directors",Simple majority of Good Standing directors (or one-half when even number required),-,Paid,-,Board of directors (exclusive to such member's director),with cause by two-thirds ,-,,Y,Y,Members,"Simple majority. Each member has 1 vote (except committers of the same organization, who will have only 1). ",Simple majority of memberships (committers of the same organization are counted as 1)
FreeBSD Foundation,https://www.freebsdfoundation.org/wp-content/uploads/2015/12/FoundationBylaws.pdf,"Forums, mailing list, IRC",https://www.freebsd.org/doc/en_US.ISO8859-1/articles/contributing/index.html,-,-,Mailing list,Bugzilla,-,-,-,PMC,>=3,1,Majority,Majority,Board,Majority,Majority,,,,-,-,-,-,-,-,,Y,Y,Board,Majority,Majority
F# Foundation,https://d3n8a8pro7vhmx.cloudfront.net/fsharp/pages/46/attachments/original/1426897574/FSSF-Bylaws-20150219.pdf?1426897574,Issue-tracker,http://fsharp.github.io/,Member,Course (Training and Education Working Group),GitHub,GitHub,Anyone,Via RFCs (issues),Discussion,,3-19,Annually,Majority,Majority,Standard/Sponsor Members (In general meeting),-,One fourth,Board,-,-,-,Paid,-,Board of trustees,Affirmative vote,-,,Y,Y,Members (standard member cannot vote or are counted for quorum),All except Standard members,"onefourth (1/4) of the members entitled to vote. If the item only involve a class of members, 1/4 of that class."
Gentoo Foundation,https://wiki.gentoo.org/wiki/Foundation:Bylaws,"Mailing list, forums",https://www.gentoo.org/get-involved/,Anyone,Mentoring program. A mentor has to voucher for you,-,-,-,-,-,Working Groups,5,Annually,Simple Majority,Majority,Members,Condorcet Voting System (or other),-,Members,Majority,-,Trustees,Request to trustees. Any active developer can become member unles there is an absolute majority of trustees that opposes it,-,Trustees,Majority vote,-,,Y,Y,Members,-,One third of members entitled to vote
GNOME Foundation,https://www.gnome.org/wp-content/uploads/2012/02/bylaws.pdf,"IRC, Mailing lists",https://wiki.gnome.org/Newcomers/,-,-,Bugzilla,Bugzilla,Mentors of the project,-,BDFL,-,Not fixed (7 in 2012),Annually (max 2 years),Majority,Majority,Members,Single transferable Vote + Meek method,-,Board,-,-,Board,Majority ,-,Board,Majority ,-,2 years term,Y,Y,Members in good standing,By voice (or by ballot when required by the chairman). Fractional votes not allowed,-
